x,y,z
-3.300000,-2.800000,
-3.200000,-2.800000,
-3.100000,-2.800000,
-3.000000,-2.800000,
-2.900000,-2.800000,
-2.800000,-2.800000,
-2.700000,-2.800000,
-2.600000,-2.800000,
-2.500000,-2.800000,
-2.400000,-2.800000,
-2.300000,-2.800000,
-2.200000,-2.800000,
-2.100000,-2.800000,
-2.000000,-2.800000,
-1.900000,-2.800000,
-1.800000,-2.800000,
-1.700000,-2.800000,
-1.600000,-2.800000,
-1.500000,-2.800000,
-1.400000,-2.800000,
-1.300000,-2.800000,
-1.200000,-2.800000,
-1.100000,-2.800000,
-1.000000,-2.800000,
-0.900000,-2.800000,
-0.800000,-2.800000,
-0.700000,-2.800000,-1.050822
-0.600000,-2.800000,-0.797311
-0.500000,-2.800000,-0.621057
-0.400000,-2.800000,-0.482829
-0.300000,-2.800000,0.945603
-0.200000,-2.800000,1.218640
-0.100000,-2.800000,1.409070
0.000000,-2.800000,1.559360
0.100000,-2.800000,1.683990
0.200000,-2.800000,1.790016
0.300000,-2.800000,1.881512
0.400000,-2.800000,1.961080
0.500000,-2.800000,2.030497
0.600000,-2.800000,2.012461
0.700000,-2.800000,1.979899
0.800000,-2.800000,1.941649
0.900000,-2.800000,1.897367
1.000000,-2.800000,1.846619
1.100000,-2.800000,1.788854
1.200000,-2.800000,1.723369
1.300000,-2.800000,1.649242
1.400000,-2.800000,1.565248
1.500000,-2.800000,1.469694
1.600000,-2.800000,1.360147
1.700000,-2.800000,1.232883
1.800000,-2.800000,1.081665
1.900000,-2.800000,0.894427
2.000000,-2.800000,0.640312
2.100000,-2.800000,
2.200000,-2.800000,
2.300000,-2.800000,
2.400000,-2.800000,
2.500000,-2.800000,
2.600000,-2.800000,
2.700000,-2.800000,
2.800000,-2.800000,
2.900000,-2.800000,
3.000000,-2.800000,
3.100000,-2.800000,
3.200000,-2.800000,
3.300000,-2.800000,
3.400000,-2.800000,
3.500000,-2.800000,
-3.500000,-2.700000,
-3.400000,-2.700000,
-3.300000,-2.700000,
-3.200000,-2.700000,
-3.100000,-2.700000,
-3.000000,-2.700000,
-2.900000,-2.700000,
-2.800000,-2.700000,
-2.700000,-2.700000,
-2.600000,-2.700000,
-2.500000,-2.700000,
-2.400000,-2.700000,
-2.300000,-2.700000,
-2.200000,-2.700000,
-2.100000,-2.700000,-0.557623
-2.000000,-2.700000,-0.666805
-1.900000,-2.700000,-0.806625
-1.800000,-2.700000,-1.001933
-1.700000,-2.700000,
-1.600000,-2.700000,
-1.500000,-2.700000,
-1.400000,-2.700000,
-1.300000,-2.700000,
-1.200000,-2.700000,
-1.100000,-2.700000,
-1.000000,-2.700000,
-0.900000,-2.700000,
-0.800000,-2.700000,-1.216367
-0.700000,-2.700000,-0.879390
-0.600000,-2.700000,-0.674517
-0.500000,-2.700000,-0.519173
